Date,Open,High,Low,Close,Adj Close,Volume,Amazon,Microsoft,Google,NASDAQ,NYSE,RUSSELL2000,ViX,USD/CNY,5yearTreasury,10yearTreasury
01/08/2022,161.009995,163.589996,160.889999,161.509995,160.551315,67829400,135.389999,278.01001,115.480003,12368.98047,15286.00977,1883.310059,22.84,6.7432,2.668,2.606
02/08/2022,160.100006,162.410004,159.630005,160.009995,159.060196,59907000,134.160004,274.820007,115.900002,12348.75977,15162.67969,1882.449951,23.93,6.7677,2.862,2.741
03/08/2022,160.839996,166.589996,160.75,166.130005,165.14389,82507500,139.520004,282.470001,118.779999,12668.16016,15267.16016,1908.930054,21.950001,6.7518,2.872,2.748
04/08/2022,166.009995,167.190002,164.429993,165.809998,164.82579,55474100,142.570007,283.649994,118.870003,12720.58008,15224.20996,1906.459961,21.440001,6.757,2.774,2.676
05/08/2022,163.210007,165.850006,163,165.350006,164.596832,56697000,140.800003,282.910004,118.220001,12657.54981,15273.23047,1921.819946,21.15,6.7478,2.976,2.84
08/08/2022,166.369995,167.809998,164.199997,164.869995,164.119019,60276900,139.410004,280.320007,118.139999,12644.45996,15305.79981,1941.209961,21.290001,6.7609,2.911,2.765
09/08/2022,164.020004,165.820007,163.25,164.919998,164.168793,63135500,137.830002,282.299988,117.5,12493.92969,15264.79004,1912.890015,21.77,6.7499,2.98,2.797
10/08/2022,167.679993,169.339996,166.899994,169.240005,168.469131,70170500,142.690002,289.160004,120.650002,12854.79981,15552.7002,1969.25,19.74,6.7517,2.923,2.786
11/08/2022,170.059998,170.990005,168.190002,168.490005,167.722534,57149200,140.639999,287.019989,119.82,12779.91016,15602.92969,1975.26001,20.200001,6.7228,2.988,2.888
12/08/2022,169.820007,172.169998,169.399994,172.100006,171.316101,68039400,143.550003,291.910004,122.650002,13047.19043,15804.37988,2016.619995,19.530001,6.7436,2.977,2.849
15/08/2022,171.520004,173.389999,171.350006,173.190002,172.401123,54091700,143.179993,293.470001,122.879997,13128.04981,15794.33008,2021.349976,19.950001,6.7418,2.913,2.791
16/08/2022,172.779999,173.710007,171.660004,173.029999,172.241852,56377100,144.779999,292.709991,122.510002,13102.54981,15846.79004,2020.530029,19.690001,6.772,2.958,2.824
17/08/2022,172.770004,176.149994,172.570007,174.550003,173.754929,79542000,142.100006,291.320007,120.32,12938.12012,15734.11035,1987.310059,19.9,6.7874,3.048,2.893
18/08/2022,173.75,174.899994,173.119995,174.149994,173.356735,62290100,142.300003,290.170013,120.860001,12965.33984,15763.90039,2000.72998,19.559999,6.7799,3.031,2.88
19/08/2022,173.029999,173.740005,171.309998,171.520004,170.738724,70346300,138.229996,286.149994,118.120003,12705.21973,15588.32031,1957.349976,20.6,6.7846,3.116,2.989
22/08/2022,169.690002,169.860001,167.139999,167.570007,166.806732,69026800,133.220001,277.75,115.07,12381.57031,15341.84961,1915.73999,23.799999,6.8157,3.179,3.037
23/08/2022,167.080002,168.710007,166.649994,167.229996,166.468277,54147100,133.619995,276.440002,114.769997,12381.29981,15338.15039,1919.140015,24.110001,6.8479,3.181,3.054
24/08/2022,167.320007,168.110001,166.25,167.529999,166.766907,53841500,133.800003,275.790009,114.699997,12431.53027,15392.05957,1935.290039,22.82,6.8336,3.231,3.106
25/08/2022,168.779999,170.139999,168.350006,170.029999,169.255508,51218200,137.279999,278.850006,117.699997,12639.26953,15595.24023,1964.640015,21.780001,6.8585,3.157,3.026
26/08/2022,170.570007,171.050003,163.559998,163.619995,162.87471,78961000,130.75,268.089996,111.300003,12141.70996,15178.20996,1899.829956,25.559999,6.8483,3.195,3.035
29/08/2022,161.149994,162.899994,159.820007,161.380005,160.644913,73314000,129.789993,265.230011,110.339996,12017.66992,15118.84961,1882.939941,26.209999,6.8708,3.263,3.11
30/08/2022,162.130005,162.559998,157.720001,158.910004,158.186172,77906200,128.729996,262.970001,109.910004,11883.13965,14931.41992,1855.589966,26.209999,6.907,3.277,3.11
31/08/2022,160.309998,160.580002,157.139999,157.220001,156.503876,87991100,126.769997,261.470001,109.150002,11816.2002,14801.24023,1844.119995,25.870001,6.9108,3.284,3.133
01/09/2022,156.639999,158.419998,154.669998,157.960007,157.240494,74229900,127.82,260.399994,110.550003,11785.12988,14771.90039,1822.819946,25.559999,6.8889,3.406,3.265
02/09/2022,159.75,160.360001,154.970001,155.809998,155.100281,76957800,127.510002,256.059998,108.68,11630.86035,14689.5,1809.75,25.469999,6.9055,3.298,3.193
06/09/2022,156.470001,157.089996,153.690002,154.529999,153.826111,73714800,126.110001,253.25,107.480003,11544.91016,14631.51953,1792.319946,26.91,6.9331,3.443,3.34
07/09/2022,154.820007,156.669998,153.610001,155.960007,155.249603,87449600,129.479996,258.089996,110.480003,11791.90039,14844.57031,1832,24.639999,6.9531,3.36,3.265
08/09/2022,154.639999,156.360001,152.679993,154.460007,153.756454,84923800,129.820007,258.519989,109.419998,11862.12988,14961.76953,1846.910034,23.610001,6.9653,3.397,3.292
09/09/2022,155.470001,157.820007,154.75,157.369995,156.653168,68028800,133.270004,264.459991,111.779999,12112.30957,15190.79004,1882.849976,22.790001,6.9565,3.446,3.321
12/09/2022,159.589996,164.259995,159.300003,163.429993,162.685577,104956000,136.449997,266.649994,111.870003,12266.41016,15352.17969,1906.089966,23.870001,6.9255,3.458,3.362
13/09/2022,159.899994,160.539993,153.369995,153.839996,153.139252,122656600,126.82,251.990005,105.309998,11633.57031,14820.79004,1831.569946,27.27,6.925,3.589,3.422
14/09/2022,154.789993,157.100006,153.610001,155.309998,154.60257,87965400,128.550003,252.220001,105.870003,11719.67969,14843.20996,1838.459961,26.16,6.9241,3.595,3.412
15/09/2022,154.649994,155.240005,151.380005,152.369995,151.675949,90481100,126.279999,245.380005,103.900002,11552.36035,14722.03027,1825.22998,26.27,6.961,3.674,3.459
16/09/2022,151.210007,151.350006,148.369995,150.699997,150.01355,162278800,123.529999,244.740005,103.629997,11448.40039,14573.91016,1798.189941,26.299999,6.993,3.626,3.448
19/09/2022,149.309998,154.559998,149.100006,154.479996,153.776352,81474200,124.660004,244.520004,103.849998,11535.01953,14674.45996,1812.839966,25.76,6.979,3.693,3.49
20/09/2022,153.399994,158.080002,153.080002,156.899994,156.185318,107689800,122.190002,242.449997,101.830002,11425.04981,14474.71973,1787.5,27.16,7.0056,3.75,3.571
21/09/2022,157.339996,158.740005,153.600006,153.720001,153.019806,101696800,118.540001,238.949997,100.010002,11220.19043,14236.61035,1762.160034,27.99,7.0172,3.713,3.51
22/09/2022,152.380005,154.470001,150.910004,152.740005,152.044266,86652500,117.309998,240.979996,100.57,11066.80957,14116.58984,1722.310059,27.35,7.0479,3.929,3.708
23/09/2022,151.190002,151.470001,148.559998,150.429993,149.744797,96029900,113.779999,237.919998,99.169998,10867.92969,13796.99023,1679.589966,29.92,7.0766,3.984,3.697
26/09/2022,149.660004,153.770004,149.639999,150.770004,150.083252,93339400,115.150002,237.449997,98.809998,10802.91992,13580.38965,1655.880005,32.259998,7.1274,4.159,3.878
27/09/2022,152.740005,154.720001,149.949997,151.759995,151.068726,84442700,114.410004,236.410004,98.089996,10829.5,13541.75977,1662.51001,32.599998,7.148,4.21,3.964
28/09/2022,147.639999,150.639999,144.839996,149.839996,149.157486,146691400,118.010002,241.070007,100.739998,11051.63965,13833.17969,1715.23999,30.18,7.1768,3.922,3.705
29/09/2022,146.100006,146.720001,140.679993,142.479996,141.830994,128138200,114.800003,237.5,98.089996,10737.50977,13608.29004,1674.930054,31.84,7.199,3.979,3.747
30/09/2022,141.279999,143.100006,138,138.199997,137.570496,124925300,113,232.899994,96.150002,10575.62012,13472.17969,1664.719971,31.620001,7.1239,4.041,3.804
03/10/2022,138.210007,143.070007,137.690002,142.449997,141.801147,114311700,115.879997,240.740005,99.300003,10815.42969,13855.71973,1708.869995,30.1,7.115,3.883,3.651
04/10/2022,145.029999,146.220001,144.259995,146.100006,145.434525,87830100,121.089996,248.880005,102.410004,11176.41016,14319.49023,1775.77002,29.07,7.1149,3.84,3.617
05/10/2022,144.070007,147.380005,143.009995,146.399994,145.733139,79471000,120.949997,249.199997,102.220001,11148.63965,14262.03027,1762.689941,28.549999,7.115,3.959,3.759
06/10/2022,145.809998,147.539993,145.220001,145.429993,144.767563,68402200,120.300003,246.789993,102.239998,11073.30957,14087.37988,1752.51001,30.52,7.115,4.06,3.826
07/10/2022,142.539993,143.100006,139.449997,140.089996,139.451889,85925600,114.559998,234.240005,99.57,10652.40039,13798.25977,1702.150024,31.360001,7.115,4.135,3.883
10/10/2022,140.419998,141.889999,138.570007,140.419998,139.780396,74899000,113.669998,229.25,98.709999,10542.09961,13693.57031,1691.920044,32.450001,7.115,4.149,3.888
11/10/2022,139.899994,141.350006,138.220001,138.979996,138.346954,77033700,112.209999,225.410004,98.050003,10426.19043,13608.08984,1692.920044,33.630001,7.1536,4.169,3.939
12/10/2022,139.130005,140.360001,138.160004,138.339996,137.709854,70433700,112.900002,225.75,98.300003,10417.09961,13546.79981,1687.76001,33.57,7.1644,4.112,3.902
13/10/2022,134.990005,143.589996,134.369995,142.990005,142.338684,113224000,112.529999,234.240005,99.709999,10649.15039,13888.96973,1728.410034,31.940001,7.1741,4.207,3.952
