Date,Open,High,Low,Close,Adj Close,Volume,Amazon,Microsoft,Google,NASDAQ,NYSE,RUSSELL2000,ViX,USD/CNY,5yearTreasury,10yearTreasury
31/07/2017,37.474998,37.5825,37.032501,37.182499,34.990471,79383600,49.389,67.442795,46.525002,6348.120117,11967.66992,1425.140015,10.26,6.7389,1.832,2.292
01/08/2017,37.275002,37.555,37.102501,37.512501,35.301014,141474400,49.809502,67.33149,46.5415,6362.939941,12000.01953,1428.329956,10.09,6.7255,1.799,2.251
02/08/2017,39.82,39.9375,39.040001,39.285,36.969032,279747200,49.794498,67.03463,46.519501,6362.649902,11979.37012,1412.900024,10.28,6.7137,1.819,2.262
03/08/2017,39.262501,39.302502,38.755001,38.892502,36.599667,108389200,49.346001,66.932602,46.182499,6340.339844,11956.51953,1405.22998,10.44,6.7217,1.79,2.228
04/08/2017,39.017502,39.349998,38.922501,39.0975,36.792587,82239600,49.379002,67.424248,46.397999,6351.560059,11984.88965,1412.319946,10.03,6.7156,1.822,2.267
07/08/2017,39.264999,39.73,39.1675,39.702499,37.361912,87481200,49.613499,67.164536,46.467999,6383.77002,11987.76953,1414.170044,9.93,6.7657,1.812,2.257
08/08/2017,39.650002,40.4575,39.567501,40.02,37.660709,144823600,49.492001,67.526314,46.3395,6370.459961,11949.96973,1410.150024,10.96,6.7215,1.834,2.283
09/08/2017,39.814999,40.317501,39.7775,40.264999,37.891247,104526000,49.100498,67.229454,46.145,6352.330078,11929.45996,1396.949951,11.11,6.7098,1.797,2.241
10/08/2017,39.974998,40,38.657501,38.830002,36.684353,163217200,47.846001,66.246117,45.362,6216.870117,11771.59961,1372.540039,16.040001,6.6718,1.781,2.212
11/08/2017,39.150002,39.642502,39.017502,39.369999,37.194508,105028400,48.399502,67.257278,45.719501,6256.560059,11763.21973,1374.22998,15.51,6.6458,1.74,2.189
14/08/2017,39.830002,40.052502,39.6875,39.962502,37.754269,88490800,49.165001,68.268456,46.133499,6340.22998,11856.05957,1394.310059,12.33,6.662,1.771,2.219
