Date,Title,Evaluation,Prob
2017-07-31,Apple removes VPN apps in China,negative,0.86775291
2017-07-31,Court refuses to drop FaceTime class action lawsuit against Apple,negative,0.846051276
2017-08-01,Apple earnings on tap,neutral,0.834318884
2017-08-01,Apple asks India for supplier tax breaks,neutral,0.888188839
2017-08-01,Apple leak confirms wireless charging,neutral,0.79193449
2017-08-01,"Apple beats by $0.10, beats on revenue",neutral,0.89447403
2017-08-01,Apple declares $0.63 dividend,positive,0.713870764
2017-08-01,"Apple beats earnings estimates, Services up 22%; shares +5.9%",neutral,0.870654225
2017-08-01,"Apple call: comments on China slump, Trump factory quote, no iPhone news",positive,0.945325613
2017-08-02,Oppenheimer Global ESG Revenue ETF (ESGF) July Summary,neutral,0.845220745
2017-08-02,Sell-side boosts Apple price targets; shares up 6.6% post-earnings,neutral,0.923832417
2017-08-02,Oppenheimer Large Cap Revenue ETF (RWL) July Summary,positive,0.937697411
2017-08-02,Samsung tops Q2 global smartphone shipments,neutral,0.913300872
2017-08-03,Apple hiring map tech experts,positive,0.743233204
2017-08-03,Next iPhone could integrate facial recognition in Apple Pay,neutral,0.905538797
2017-08-03,Apple's most popular phones have larger screens,neutral,0.793130457
2017-08-04,"Xiaomi tops wearable shipments in Q2, Apple falls to third",neutral,0.905543983
2017-08-06,Apple Watch to break free from iPhone,negative,0.961847842
2017-08-07,Apple might purchase content library of Indian media company,neutral,0.712049484
2017-08-08,U.S. Trade Commission will investigate Qualcomm's claims against Apple,neutral,0.900811136
2017-08-08,KGI analyst says iPhone 8 will launch on schedule with limited supplies,neutral,0.58540827
2017-08-09,"Samsung tops U.S. smartphone market, Apple's latest enters volume production",positive,0.498498976
2017-08-10,Huawei could surpass Apple in Q3 smartphone shipments,positive,0.506268978
2017-08-10,Chinese app developers file antitrust complaint against Apple,positive,0.932927489
2017-08-10,Apple comes third in Q2 wearable band shipments,negative,0.890654981
2017-08-11,"Apple, Ireland close to reaching agreement on tax escrow",neutral,0.614002049
2017-08-14,Bernstein says Google could pay Apple $3B to remain iPhone search engine,positive,0.618360043
2017-08-14,"Apple suppliers Inventec, Foxconn benefit from upcoming launches",neutral,0.834629893
2017-08-14,Apple discusses bringing Watch to Aetna members,positive,0.705815613
2017-08-14,Synchrony Financial up 3% after Berkshire Hathaway discloses stake,neutral,0.909618556
2017-08-15,Qualcomm outlines dispute with Apple,positive,0.881311476
2017-08-15,CNBC: Next Apple Watch won't require iPhone tethering,negative,0.644445539
2017-08-15,"MacBook shipments up over 17% in Q2, according to TrendForce",neutral,0.912046015
2017-08-15,"Apple, Facebook among tech companies filing cell location legal brief",positive,0.95407182
2017-08-15,Apple planning $1.96B bond offering in Canada,neutral,0.629132926
2017-08-16,Apple gets serious about Hollywood,neutral,0.837132275
2017-08-16,Apple plans $1B original content investment; Taiwan blackout didn't impact suppliers,neutral,0.916268468
2017-08-16,Strategy Analytics: Apple topped smartphone shipments in Q2,neutral,0.772063375
2017-08-16,KGI Securities analyst: Apple Watch unlikely to support calls at launch,positive,0.947214663
2017-08-17,Ireland will reluctantly collect Apple back taxes,neutral,0.909142017
2017-08-17,Apple Watch reportedly nearing mass production for Q4 shipment,neutral,0.89284724
2017-08-17,CNBC reveals what Apple and Aetna discussed about the Watch,neutral,0.743105412
2017-08-18,Digitimes: Apple Watch will ship 20M units next year,neutral,0.94554162
2017-08-18,"Movie studios discussing premium download deal with Apple, Comcast",neutral,0.875335872
2017-08-21,Contactless payments expected to hit 53% in five years,neutral,0.930970788
2017-08-21,Rosenblatt: iPhone 8 will ship 40M units in 2H17,positive,0.899583519
2017-08-22,Apple improves shipment times for AirPods,neutral,0.804411232
2017-08-22,"Bloomberg: iPhone 8 face recognition will unlock in few hundred milliseconds""""",positive,0.883898139
2017-08-23,Apple scales back car ambitions,neutral,0.882934034
2017-08-23,"Gartner: Q2 smartphone sales up 7.6%, 4G demand driving second half",neutral,0.776632071
2017-08-23,"Apple rumors: September 12 launch event, 512 GB iPhone 8",positive,0.951509953
2017-08-23,New iPhones might release September 22; Apple TV lost Q1 market share,neutral,0.946999192
2017-08-24,Apple leading smartwatch market expected to reach $9.3B this year,negative,0.966936469
2017-08-24,Survey finds Apple loyalty will drive iPhone 8 sales; Apple gets data center tax breaks,positive,0.767020702
2017-08-24,NYT says iPhone 8 will cost $999,positive,0.532242358
2017-08-25,Apple removes Iran-affiliated apps citing U.S. sanctions,neutral,0.849189043
2017-08-25,Apple plans 4K Apple TV to regain market share,negative,0.94290936
2017-08-25,Wireless charging confirmed for iPhones; Swift curriculum launching at colleges,positive,0.935497403
2017-08-28,Dow Jones sources back September 12 as Apple launch event,neutral,0.762845814
2017-08-29,"WSJ: Apple, movie studios argue pricing for new movie streams",neutral,0.933919132
2017-08-29,"Apple, Accenture announce iOS enterprise partnership",neutral,0.708001614
2017-08-29,How well will new iPhones sell? Depends on who you ask,neutral,0.872764587
2017-08-29,Amazon Echo goes out of stock; video app isn't ready for Apple TV,neutral,0.908064961
2017-08-30,Tim Cook's stewardship pays off,negative,0.931401372
2017-08-30,Last minute bid for Toshiba chip unit,neutral,0.551819801
2017-08-30,IDC: Worldwide smartphone shipments will reach 1.7B in 2021,neutral,0.893968821
2017-08-30,Premium iPhone could feature gesture controls; Apple TV gets HDR,positive,0.740777254
2017-08-31,Barclays suggests Apple bundle services with $1K iPhone 8,neutral,0.761782408
2017-08-31,Apple invites confirm September 12 launch event,neutral,0.793797195
