Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,6.7388,6.7388,6.7143,6.7389,6.7389,0.0
2017-08-01,6.7252,6.7296,6.7143,6.7255,6.7255,0.0
2017-08-02,6.7144,6.7305,6.7136,6.7137,6.7137,0.0
2017-08-03,6.7223,6.7317,6.7093,6.7217,6.7217,0.0
2017-08-04,6.7165,6.7289,6.6933,6.7156,6.7156,0.0
2017-08-07,6.7647,6.7647,6.7074,6.7657,6.7657,0.0
2017-08-08,6.7203,6.7226,6.6939,6.7215,6.7215,0.0
2017-08-09,6.709,6.7099,6.673,6.7098,6.7098,0.0
2017-08-10,6.6711,6.6965,6.6474,6.6718,6.6718,0.0
2017-08-11,6.6455,6.6773,6.6427,6.6458,6.6458,0.0
2017-08-14,6.6621,6.6726,6.6533,6.662,6.662,0.0
2017-08-15,6.673,6.6854,6.6579,6.6687,6.6687,0.0
2017-08-16,6.6748,6.6997,6.673,6.6844,6.6844,0.0
2017-08-17,6.69,6.6947,6.6635,6.6897,6.6897,0.0
2017-08-18,6.6754,6.6827,6.6578,6.6777,6.6777,0.0
2017-08-21,6.6692,6.6779,6.6553,6.6687,6.6687,0.0
2017-08-22,6.6653,6.6681,6.639,6.6659,6.6659,0.0
2017-08-23,6.6632,6.6706,6.6492,6.6617,6.6617,0.0
2017-08-24,6.6591,6.667,6.6435,6.6583,6.6583,0.0
2017-08-25,6.6486,6.6691,6.6485,6.6613,6.6613,0.0
2017-08-28,6.5834,6.6506,6.5824,6.5829,6.5829,0.0
2017-08-29,6.608,6.622,6.5912,6.6074,6.6074,0.0
2017-08-30,6.5955,6.599,6.5793,6.5954,6.5954,0.0
2017-08-31,6.5948,6.6034,6.5891,6.5957,6.5957,0.0
2017-09-01,6.5889,6.5905,6.5377,6.5898,6.5898,0.0
2017-09-04,6.5472,6.5611,6.5151,6.5465,6.5465,0.0
2017-09-05,6.5282,6.5542,6.5166,6.5299,6.5299,0.0
2017-09-06,6.5379,6.5459,6.5189,6.5374,6.5374,0.0
2017-09-07,6.5203,6.5339,6.4833,6.5212,6.5212,0.0
2017-09-08,6.4848,6.5045,6.436,6.4846,6.4846,0.0
2017-09-11,6.5299,6.5303,6.4867,6.5309,6.5309,0.0
2017-09-12,6.5309,6.5474,6.526,6.5304,6.5304,0.0
2017-09-13,6.5346,6.5409,6.5206,6.535,6.535,0.0
2017-09-14,6.5393,6.5605,6.5342,6.5422,6.5422,0.0
2017-09-15,6.5531,6.5598,6.5342,6.5548,6.5548,0.0
2017-09-18,6.5487,6.5733,6.5393,6.5507,6.5507,0.0
2017-09-19,6.5734,6.5994,6.568,6.5731,6.5731,0.0
2017-09-20,6.5835,6.5866,6.5612,6.5833,6.5833,0.0
2017-09-21,6.5726,6.6031,6.5694,6.5749,6.5749,0.0
2017-09-22,6.5909,6.5975,6.5718,6.59,6.59,0.0
2017-09-25,6.6047,6.6248,6.5974,6.6046,6.6046,0.0
2017-09-26,6.6211,6.6382,6.6059,6.6205,6.6205,0.0
2017-09-27,6.6406,6.6446,6.6295,6.6396,6.6396,0.0
2017-09-28,6.6407,6.6755,6.616,6.6405,6.6405,0.0
2017-09-29,6.6636,6.6834,6.6386,6.665,6.665,0.0
2017-10-02,6.6388,6.6646,6.6388,6.6578,6.6578,0.0
2017-10-03,6.6534,6.6624,6.6372,6.6517,6.6517,0.0
2017-10-04,6.6506,6.6671,6.639,6.6511,6.6511,0.0
2017-10-05,6.6534,6.658,6.647,6.6538,6.6538,0.0
2017-10-06,6.6532,6.6584,6.6447,6.6539,6.6539,0.0
2017-10-09,6.6495,6.6525,6.6145,6.65,6.65,0.0
2017-10-10,6.6248,6.6265,6.5659,6.6253,6.6253,0.0
2017-10-11,6.5718,6.5979,6.5666,6.5714,6.5714,0.0
2017-10-12,6.5899,6.5963,6.5765,6.5895,6.5895,0.0
2017-10-13,6.5871,6.5989,6.5676,6.588,6.588,0.0
2017-10-16,6.5809,6.5913,6.5711,6.5833,6.5833,0.0
2017-10-17,6.5881,6.6229,6.5875,6.5885,6.5885,0.0
2017-10-18,6.6217,6.6267,6.597,6.622,6.622,0.0
2017-10-19,6.6273,6.6355,6.6055,6.6278,6.6278,0.0
2017-10-20,6.6051,6.6238,6.605,6.6141,6.6141,0.0
2017-10-23,6.6381,6.6426,6.6245,6.6388,6.6388,0.0
2017-10-24,6.6392,6.641,6.6191,6.6383,6.6383,0.0
2017-10-25,6.6364,6.6463,6.6259,6.636,6.636,0.0
2017-10-26,6.6372,6.6411,6.625,6.6376,6.6376,0.0
2017-10-27,6.6409,6.6603,6.6385,6.6411,6.6411,0.0
2017-10-30,6.6586,6.6621,6.6348,6.659,6.659,0.0
2017-10-31,6.6422,6.6479,6.6165,6.6424,6.6424,0.0
2017-11-01,6.6346,6.6407,6.6029,6.6358,6.6358,0.0
2017-11-02,6.5996,6.6127,6.5832,6.5994,6.5994,0.0
2017-11-03,6.6074,6.6382,6.6039,6.6081,6.6081,0.0
2017-11-06,6.638,6.6399,6.62,6.638,6.638,0.0
2017-11-07,6.6334,6.64,6.6133,6.6335,6.6335,0.0
2017-11-08,6.6397,6.6426,6.6198,6.6398,6.6398,0.0
2017-11-09,6.6256,6.643,6.6215,6.6266,6.6266,0.0
2017-11-10,6.6303,6.64,6.6252,6.6303,6.6303,0.0
2017-11-13,6.6391,6.6507,6.6291,6.6393,6.6393,0.0
2017-11-14,6.6388,6.6442,6.6258,6.6386,6.6386,0.0
2017-11-15,6.6359,6.6379,6.6118,6.6356,6.6356,0.0
2017-11-16,,,,,,
2017-11-17,6.6271,6.6358,6.6227,6.6277,6.6277,0.0
2017-11-20,6.662,6.6621,6.6168,6.6619,6.6619,0.0
2017-11-21,6.6328,6.6412,6.6239,6.6335,6.6335,0.0
2017-11-22,6.628,6.6324,6.601,6.6292,6.6292,0.0
2017-11-23,6.6114,6.6114,6.5666,6.6109,6.6109,0.0
2017-11-24,6.5834,6.6053,6.5742,6.5833,6.5833,0.0
2017-11-27,6.6011,6.6109,6.5877,6.6012,6.6012,0.0
2017-11-28,6.5945,6.6077,6.5871,6.5953,6.5953,0.0
2017-11-29,6.6089,6.6138,6.5896,6.6094,6.6094,0.0
2017-11-30,6.6077,6.6169,6.5953,6.6083,6.6083,0.0
2017-12-01,6.6111,6.6168,6.5993,6.6121,6.6121,0.0
2017-12-04,6.6356,6.6356,6.6088,6.6346,6.6346,0.0
2017-12-05,6.619,6.6213,6.6027,6.6189,6.6189,0.0
2017-12-06,6.6169,6.6221,6.6048,6.6168,6.6168,0.0
2017-12-07,6.6149,6.6188,6.6036,6.6144,6.6144,0.0
2017-12-08,6.6188,6.6209,6.6059,6.618,6.618,0.0
2017-12-11,6.6181,6.6186,6.6034,6.6183,6.6183,0.0
2017-12-12,6.6175,6.6233,6.6156,6.6171,6.6171,0.0
2017-12-13,6.6204,6.6221,6.6094,6.6204,6.6204,0.0
2017-12-14,6.6186,6.6198,6.5996,6.6187,6.6187,0.0
2017-12-15,6.6082,6.6105,6.5973,6.6086,6.6086,0.0
2017-12-18,6.6147,6.6178,6.6029,6.6149,6.6149,0.0
2017-12-19,6.6146,6.6232,6.5947,6.6142,6.6142,0.0
2017-12-20,6.605,6.6058,6.5691,6.605,6.605,0.0
2017-12-21,6.5798,6.5872,6.5469,6.5797,6.5797,0.0
2017-12-22,6.5862,6.592,6.5635,6.5854,6.5854,0.0
2017-12-25,6.5785,6.5833,6.539,6.5786,6.5786,0.0
2017-12-26,6.5388,6.5674,6.5328,6.5388,6.5388,0.0
2017-12-27,6.5445,6.5586,6.5412,6.5431,6.5431,0.0
2017-12-28,6.5544,6.558,6.5233,6.5547,6.5547,0.0
2017-12-29,6.5325,6.5367,6.494,6.5316,6.5316,0.0
2018-01-01,6.5057,6.5064,6.501,6.5057,6.5057,0.0
2018-01-02,6.5058,6.5073,6.4801,6.5058,6.5058,0.0
2018-01-03,6.4926,6.5093,6.49,6.494,6.494,0.0
2018-01-04,6.5028,6.5089,6.487,6.5031,6.5031,0.0
2018-01-05,6.4932,6.4971,6.4694,6.4933,6.4933,0.0
2018-01-08,6.4874,6.4998,6.483,6.4875,6.4875,0.0
2018-01-09,6.4974,6.5307,6.4912,6.4976,6.4976,0.0
2018-01-10,6.5288,6.5342,6.4982,6.5294,6.5294,0.0
2018-01-11,6.5075,6.5177,6.4949,6.5072,6.5072,0.0
2018-01-12,6.4953,6.4984,6.4473,6.4902,6.4902,0.0
2018-01-15,6.458,6.46,6.4179,6.4562,6.4562,0.0
2018-01-16,6.4362,6.4428,6.4149,6.4352,6.4352,0.0
2018-01-17,6.4423,6.4469,6.4153,6.4423,6.4423,0.0
2018-01-18,6.4323,6.4398,6.418,6.4321,6.4321,0.0
2018-01-19,6.4198,6.4229,6.3819,6.4206,6.4206,0.0
2018-01-22,6.4031,6.4086,6.3944,6.403,6.403,0.0
2018-01-23,6.4042,6.4118,6.3932,6.4044,6.4044,0.0
2018-01-24,6.4025,6.4058,6.3642,6.4029,6.4029,0.0
2018-01-25,6.3692,6.3706,6.3078,6.3693,6.3693,0.0
2018-01-26,6.3232,6.3344,6.308,6.3228,6.3228,0.0
2018-01-29,6.3156,6.3373,6.3102,6.3159,6.3159,0.0
2018-01-30,6.3361,6.3436,6.3186,6.3363,6.3363,0.0
2018-01-31,6.3202,6.3308,6.28,6.3211,6.3211,0.0
2018-02-01,6.2892,6.3063,6.2789,6.2882,6.2882,0.0
2018-02-02,6.2988,6.3028,6.2683,6.2984,6.2984,0.0
2018-02-05,6.308,6.3106,6.2762,6.3076,6.3076,0.0
2018-02-06,6.2921,6.3002,6.2646,6.2897,6.2897,0.0
2018-02-07,6.2825,6.2846,6.2462,6.2825,6.2825,0.0
